outputscale,omega,lml
-5.000000000000000000e+00,-6.000000000000000000e+00,-4.549047270109243164e+11
-4.977500000000000036e+00,-6.000000000000000000e+00,-4.549002025477813110e+11
-4.955000000000000071e+00,-6.000000000000000000e+00,-4.548957766908540039e+11
-4.932500000000000107e+00,-6.000000000000000000e+00,-4.548914386426632690e+11
-4.910000000000000142e+00,-6.000000000000000000e+00,-4.548871756463981934e+11
-4.887500000000000178e+00,-6.000000000000000000e+00,-4.548829759038546143e+11
-4.865000000000000213e+00,-6.000000000000000000e+00,-4.548788297444070435e+11
-4.842500000000000249e+00,-6.000000000000000000e+00,-4.548747240895811768e+11
-4.820000000000000284e+00,-6.000000000000000000e+00,-4.548706500276539307e+11
-4.797500000000000320e+00,-6.000000000000000000e+00,-4.548665950169818726e+11
-4.775000000000000355e+00,-6.000000000000000000e+00,-4.548625499035391235e+11
-4.752500000000000391e+00,-6.000000000000000000e+00,-4.548585026408402100e+11
-4.730000000000000426e+00,-6.000000000000000000e+00,-4.548544426383554688e+11
-4.707499999999999574e+00,-6.000000000000000000e+00,-4.548503592008125610e+11
-4.684999999999999609e+00,-6.000000000000000000e+00,-4.548462419497891235e+11
-4.662499999999999645e+00,-6.000000000000000000e+00,-4.548420776468950195e+11
-4.639999999999999680e+00,-6.000000000000000000e+00,-4.548378572543093872e+11
-4.617499999999999716e+00,-6.000000000000000000e+00,-4.548335693596760254e+11
-4.594999999999999751e+00,-6.000000000000000000e+00,-4.548292013468785400e+11
-4.572499999999999787e+00,-6.000000000000000000e+00,-4.548247421804835815e+11
-4.549999999999999822e+00,-6.000000000000000000e+00,-4.548201810163044434e+11
-4.527499999999999858e+00,-6.000000000000000000e+00,-4.548155040851361084e+11
-4.504999999999999893e+00,-6.000000000000000000e+00,-4.548106993879274902e+11
-4.482499999999999929e+00,-6.000000000000000000e+00,-4.548057529539495850e+11
-4.459999999999999964e+00,-6.000000000000000000e+00,-4.548006528128103027e+11
-4.437500000000000000e+00,-6.000000000000000000e+00,-4.547953888999243774e+11
-4.415000000000000036e+00,-6.000000000000000000e+00,-4.547899386098959961e+11
-4.392500000000000071e+00,-6.000000000000000000e+00,-4.547842932033812256e+11
-4.370000000000000107e+00,-6.000000000000000000e+00,-4.547784387541574707e+11
-4.347500000000000142e+00,-6.000000000000000000e+00,-4.547723546446378174e+11
-4.325000000000000178e+00,-6.000000000000000000e+00,-4.547660284633701782e+11
