problem,folder,dim,noise,goal,model,n_runs,final_best_median,final_best_std,final_best_mean
Buckling,B2_buckling,fixed,0.08,maximize,GP+,10,297048.7709196523,1824.4733543585544,297068.15437372413
Buckling,B2_buckling,fixed,0.08,maximize,PFN 2.0,10,293271.38684891176,43533.31740082613,274042.79491725436
Buckling,B2_buckling,fixed,0.08,maximize,PFN 2.5,10,290688.0889863194,9362.327373457243,286526.27150570636
Borehole,B3_borehole,fixed,0.08,maximize,GP+,10,312.62202805389575,2.6985749159342443,313.44988375787085
Borehole,B3_borehole,fixed,0.08,maximize,PFN 2.0,10,280.96388350563325,4.647926912532769,281.19703518133497
Borehole,B3_borehole,fixed,0.08,maximize,PFN 2.5,10,280.03106782277786,6.70211508897387,280.83946867509
Wing,B1_wing,fixed,0.08,minimize,GP+,10,118.67282844365269,4.86524834987128,119.92495830593968
Wing,B1_wing,fixed,0.08,minimize,PFN 2.0,10,134.96801853380788,2.454279830925931,135.77310578385902
Wing,B1_wing,fixed,0.08,minimize,PFN 2.5,10,136.87953719243063,1.6867073204557261,136.7677707465127
Ackley 20D,B4_ackley,20Dx,0.08,minimize,GP+,10,8.182477938646697,1.050173472205617,8.091730639077142
Ackley 20D,B4_ackley,20Dx,0.08,minimize,PFN 2.0,10,10.232121257869796,0.5669260065143176,10.066570795855018
Ackley 20D,B4_ackley,20Dx,0.08,minimize,PFN 2.5,10,10.01978025928849,0.4885416324372841,9.892159244578087
Griewank 20D,B8_griewank,20Dx,0.08,minimize,GP+,10,-6.184323558307938,6.647486986356211,-6.944785476950756
Griewank 20D,B8_griewank,20Dx,0.08,minimize,PFN 2.0,10,239.66101410557093,35.180774273550085,238.14287084606858
Griewank 20D,B8_griewank,20Dx,0.08,minimize,PFN 2.5,10,221.84632473075197,42.006245989261885,225.16748911910722
Zakharov 20D,B7_zakharov,20Dx,0.08,minimize,GP+,10,-2257211376.873391,501285199.27693015,-2277475473.5907707
Zakharov 20D,B7_zakharov,20Dx,0.08,minimize,PFN 2.0,10,-2237466651.038005,602990665.5698892,-2294485393.1007257
Zakharov 20D,B7_zakharov,20Dx,0.08,minimize,PFN 2.5,10,-2184811100.8541946,621352029.1682495,-1951017702.798348
Ackley 40D,B4_ackley,40Dx,0.08,minimize,GP+,10,8.827506422813332,0.6023058443069093,8.886148914659836
Ackley 40D,B4_ackley,40Dx,0.08,minimize,PFN 2.0,10,11.429355854545095,0.505570545022446,11.37842989755594
Ackley 40D,B4_ackley,40Dx,0.08,minimize,PFN 2.5,10,10.938932736526322,0.33922917516173157,11.005304763757309
Dixon-Price 40D,B9_dixon_price,40Dx,0.08,minimize,GP+,10,166531.26362933265,270731.54379512655,170804.89277829725
Dixon-Price 40D,B9_dixon_price,40Dx,0.08,minimize,PFN 2.0,10,2222760.7927024867,263893.5148119651,2197526.97143882
Dixon-Price 40D,B9_dixon_price,40Dx,0.08,minimize,PFN 2.5,10,2276458.449014741,480751.29820264934,2168929.7916248506
