outputscale,omega,lml
-5.000000000000000000e+00,-6.000000000000000000e+00,-3.299638393722537842e+11
-4.977500000000000036e+00,-6.000000000000000000e+00,-3.299030314125990601e+11
-4.955000000000000071e+00,-6.000000000000000000e+00,-3.298452155390162354e+11
-4.932500000000000107e+00,-6.000000000000000000e+00,-3.297902429336654053e+11
-4.910000000000000142e+00,-6.000000000000000000e+00,-3.297379704435501099e+11
-4.887500000000000178e+00,-6.000000000000000000e+00,-3.296882633806934204e+11
-4.865000000000000213e+00,-6.000000000000000000e+00,-3.296409922462762451e+11
-4.842500000000000249e+00,-6.000000000000000000e+00,-3.295960340962366943e+11
-4.820000000000000284e+00,-6.000000000000000000e+00,-3.295532716736823120e+11
-4.797500000000000320e+00,-6.000000000000000000e+00,-3.295125934482415771e+11
-4.775000000000000355e+00,-6.000000000000000000e+00,-3.294738952823333740e+11
-4.752500000000000391e+00,-6.000000000000000000e+00,-3.294370728017653198e+11
-4.730000000000000426e+00,-6.000000000000000000e+00,-3.294020305006074219e+11
-4.707499999999999574e+00,-6.000000000000000000e+00,-3.293686775153240967e+11
-4.684999999999999609e+00,-6.000000000000000000e+00,-3.293369263333673706e+11
-4.662499999999999645e+00,-6.000000000000000000e+00,-3.293066900792363892e+11
-4.639999999999999680e+00,-6.000000000000000000e+00,-3.292778931869763184e+11
-4.617499999999999716e+00,-6.000000000000000000e+00,-3.292504580189170532e+11
-4.594999999999999751e+00,-6.000000000000000000e+00,-3.292243118055792236e+11
-4.572499999999999787e+00,-6.000000000000000000e+00,-3.291993869647329712e+11
-4.549999999999999822e+00,-6.000000000000000000e+00,-3.291756195520323486e+11
-4.527499999999999858e+00,-6.000000000000000000e+00,-3.291529400985367432e+11
-4.504999999999999893e+00,-6.000000000000000000e+00,-3.291312938371563110e+11
-4.482499999999999929e+00,-6.000000000000000000e+00,-3.291106198233907471e+11
-4.459999999999999964e+00,-6.000000000000000000e+00,-3.290908672313321533e+11
-4.437500000000000000e+00,-6.000000000000000000e+00,-3.290719837589739380e+11
-4.415000000000000036e+00,-6.000000000000000000e+00,-3.290539156118296509e+11
-4.392500000000000071e+00,-6.000000000000000000e+00,-3.290366146596237183e+11
-4.370000000000000107e+00,-6.000000000000000000e+00,-3.290200413101494751e+11
-4.347500000000000142e+00,-6.000000000000000000e+00,-3.290041450551123047e+11
-4.325000000000000178e+00,-6.000000000000000000e+00,-3.289888860322237549e+11
-4.302500000000000213e+00,-6.000000000000000000e+00,-3.289742208324508057e+11
-4.280000000000000249e+00,-6.000000000000000000e+00,-3.289601131564001465e+11
-4.257500000000000284e+00,-6.000000000000000000e+00,-3.289465289469093018e+11
-4.235000000000000320e+00,-6.000000000000000000e+00,-3.289334271972266235e+11
-4.212500000000000355e+00,-6.000000000000000000e+00,-3.289207758058349609e+11
-4.190000000000000391e+00,-6.000000000000000000e+00,-3.289085289428392334e+11
-4.167500000000000426e+00,-6.000000000000000000e+00,-3.288966734170012817e+11
-4.144999999999999574e+00,-6.000000000000000000e+00,-3.288851635915057373e+11
-4.122500000000000497e+00,-6.000000000000000000e+00,-3.288739690279526367e+11
-4.099999999999999645e+00,-6.000000000000000000e+00,-3.288630738814836426e+11
-4.077499999999999680e+00,-6.000000000000000000e+00,-3.288524369773800049e+11
-4.054999999999999716e+00,-6.000000000000000000e+00,-3.288420283577691650e+11
-4.032499999999999751e+00,-6.000000000000000000e+00,-3.288318314467440796e+11
-4.009999999999999787e+00,-6.000000000000000000e+00,-3.288217951003750610e+11
-3.987499999999999822e+00,-6.000000000000000000e+00,-3.288119255449641113e+11
-3.964999999999999858e+00,-6.000000000000000000e+00,-3.288021762161534424e+11
-3.942499999999999893e+00,-6.000000000000000000e+00,-3.287925244111690063e+11
-3.919999999999999929e+00,-6.000000000000000000e+00,-3.287829373010601196e+11
-3.897499999999999964e+00,-6.000000000000000000e+00,-3.287733993538124390e+11
-3.875000000000000000e+00,-6.000000000000000000e+00,-3.287638860089166870e+11
-3.852500000000000036e+00,-6.000000000000000000e+00,-3.287543670060668945e+11
-3.830000000000000071e+00,-6.000000000000000000e+00,-3.287448098589412842e+11
-3.807500000000000107e+00,-6.000000000000000000e+00,-3.287352055600374756e+11
-3.785000000000000142e+00,-6.000000000000000000e+00,-3.287255179602694092e+11
-3.762500000000000178e+00,-6.000000000000000000e+00,-3.287157204425192871e+11
-3.740000000000000213e+00,-6.000000000000000000e+00,-3.287057853768939209e+11
-3.717500000000000249e+00,-6.000000000000000000e+00,-3.286956935572957764e+11
-3.695000000000000284e+00,-6.000000000000000000e+00,-3.286854222199075317e+11
-3.672500000000000320e+00,-6.000000000000000000e+00,-3.286749303062913818e+11
-3.650000000000000355e+00,-6.000000000000000000e+00,-3.286642066204100952e+11
-3.627499999999999947e+00,-6.000000000000000000e+00,-3.286531848663101807e+11
-3.604999999999999982e+00,-6.000000000000000000e+00,-3.286418644593826904e+11
-3.582500000000000018e+00,-6.000000000000000000e+00,-3.286302414317199097e+11
-3.560000000000000053e+00,-6.000000000000000000e+00,-3.286182349526228027e+11
-3.537500000000000089e+00,-6.000000000000000000e+00,-3.286058333886818237e+11
-3.515000000000000124e+00,-6.000000000000000000e+00,-3.285930346726815186e+11
-3.492500000000000160e+00,-6.000000000000000000e+00,-3.285797433273382568e+11
-3.469999999999999751e+00,-6.000000000000000000e+00,-3.285659682429963989e+11
-3.447499999999999787e+00,-6.000000000000000000e+00,-3.285516532617606201e+11
-3.424999999999999822e+00,-6.000000000000000000e+00,-3.285367828213577271e+11
-3.402499999999999858e+00,-6.000000000000000000e+00,-3.285212604813475342e+11
-3.379999999999999893e+00,-6.000000000000000000e+00,-3.285051046783540039e+11
-3.357499999999999929e+00,-6.000000000000000000e+00,-3.284882675301695557e+11
-3.334999999999999964e+00,-6.000000000000000000e+00,-3.284706754855660400e+11
-3.312500000000000000e+00,-6.000000000000000000e+00,-3.284523037166045532e+11
-3.290000000000000036e+00,-6.000000000000000000e+00,-3.284330784320916138e+11
-3.267500000000000071e+00,-6.000000000000000000e+00,-3.284130227104804077e+11
-3.245000000000000107e+00,-6.000000000000000000e+00,-3.283919692250162354e+11
-3.222500000000000142e+00,-6.000000000000000000e+00,-3.283699213106307373e+11
-3.200000000000000178e+00,-6.000000000000000000e+00,-3.283468384839755859e+11
-3.177500000000000213e+00,-6.000000000000000000e+00,-3.283226487506292725e+11
-3.155000000000000249e+00,-6.000000000000000000e+00,-3.282972686727767334e+11
-3.132500000000000284e+00,-6.000000000000000000e+00,-3.282706725922697144e+11
-3.110000000000000320e+00,-6.000000000000000000e+00,-3.282427110370614624e+11
-3.087500000000000355e+00,-6.000000000000000000e+00,-3.282133958579526367e+11
-3.065000000000000391e+00,-6.000000000000000000e+00,-3.281825718063660889e+11
-3.042499999999999982e+00,-6.000000000000000000e+00,-3.281501631962889404e+11
-3.020000000000000018e+00,-6.000000000000000000e+00,-3.281162499608553467e+11
-2.997500000000000053e+00,-6.000000000000000000e+00,-3.280805381148087769e+11
-2.975000000000000089e+00,-6.000000000000000000e+00,-3.280429569316343994e+11
-2.952500000000000124e+00,-6.000000000000000000e+00,-3.280035068852307129e+11
-2.930000000000000160e+00,-6.000000000000000000e+00,-3.279620472641701050e+11
-2.907500000000000195e+00,-6.000000000000000000e+00,-3.279184993604862061e+11
