problem,Dx,N_over_Dx,noise,model,RRMSE_median,RRMSE_std,NIS_median,NIS_std
ackley,40,20,0.002,tabpfn_v2.5,0.2906587277412722,0.011541054923117659,1.3578745786862867,0.03926135950315787
ackley,40,20,0.08,tabpfn_v2.5,0.30536085572227356,0.012347533182280206,1.4353691112479876,0.04305883138814387
ackley,40,5,0.002,tabpfn_v2.5,0.6675956792788091,0.04194658087977684,3.347491468259829,0.15284793545945743
ackley,40,5,0.08,tabpfn_v2.5,0.6736349729955109,0.03913374233639936,3.3522226310291208,0.13996836332068302
borehole,8,20,0.002,tabpfn_v2.5,0.012146832521296159,0.002423754899498356,0.0593016717550241,0.003729096834322679
borehole,8,20,0.08,tabpfn_v2.5,0.08959768304725371,0.00236096291254014,0.4374113162223644,0.011418581887226605
borehole,8,5,0.002,tabpfn_v2.5,0.048641567588765366,0.008363921134553335,0.2712435843157318,0.031184635720606653
borehole,8,5,0.08,tabpfn_v2.5,0.1267894914314949,0.02370644883632591,0.6310822056684917,0.12169266991898385
buckling,4,20,0.002,tabpfn_v2.5,0.34574668773859285,0.2719136180076248,0.35356378460362237,0.09959147425823414
buckling,4,20,0.08,tabpfn_v2.5,0.5851957931534885,0.3499626871756743,0.9814748871613548,0.16555143063862857
buckling,4,5,0.002,tabpfn_v2.5,0.38476454045233477,0.26093153018201637,1.3765684930931426,0.24177980642913952
buckling,4,5,0.08,tabpfn_v2.5,0.45874602933681463,0.11307880846738844,1.806230746347501,0.27034299895843605
dixon_price,40,20,0.002,tabpfn_v2.5,0.3095135370735737,0.011574355177386494,1.5115786754190608,0.04271782087286413
dixon_price,40,20,0.08,tabpfn_v2.5,0.32166005453151186,0.00964622752033878,1.5702419566829886,0.03676645468738197
dixon_price,40,5,0.002,tabpfn_v2.5,0.7670772300468869,0.044984462885604565,3.5848717005258215,0.2729293380869385
dixon_price,40,5,0.08,tabpfn_v2.5,0.7747893568867223,0.04713212881648885,3.624172066151343,0.2902482318488064
griewank,20,20,0.002,tabpfn_v2.5,0.21215020701988418,0.026944478804837215,1.0822645823648644,0.09959342091588187
